start,end,start [s],end [s],dur [s],speaker
135,3395,0.008,0.212,0.204,SPEAKER_00
20237,56638,1.265,3.54,2.275,SPEAKER_00
81629,124550,5.102,7.784,2.683,SPEAKER_00
248692,261731,15.543,16.358,0.815,SPEAKER_00
270967,291341,16.935,18.209,1.273,SPEAKER_00
298675,311171,18.667,19.448,0.781,SPEAKER_00
337521,382886,21.095,23.93,2.835,SPEAKER_00
383701,383972,23.981,23.998,0.017,SPEAKER_00
437215,485025,27.326,30.314,2.988,SPEAKER_00
500509,522241,31.282,32.64,1.358,SPEAKER_00
542342,558098,33.896,34.881,0.985,SPEAKER_00
568692,592054,35.543,37.003,1.46,SPEAKER_00
624651,686859,39.041,42.929,3.888,SPEAKER_00
718641,761561,44.915,47.598,2.683,SPEAKER_00
772427,795517,48.277,49.72,1.443,SPEAKER_00
821867,882716,51.367,55.17,3.803,SPEAKER_00
935687,950899,58.48,59.431,0.951,SPEAKER_00
969371,980780,60.586,61.299,0.713,SPEAKER_00
1025602,1054940,64.1,65.934,1.834,SPEAKER_00
1089439,1104380,68.09,69.024,0.934,SPEAKER_00
