start,end,start [s],end [s],dur [s],speaker
4210,15891,0.263,0.993,0.73,SPEAKER_02
32461,44142,2.029,2.759,0.73,SPEAKER_02
56910,69949,3.557,4.372,0.815,SPEAKER_02
98743,106349,6.171,6.647,0.475,SPEAKER_02
106349,106621,6.647,6.664,0.017,SPEAKER_01
123191,128624,7.699,8.039,0.34,SPEAKER_02
211477,240814,13.217,15.051,1.834,SPEAKER_01
254668,256298,15.917,16.019,0.102,SPEAKER_01
256298,258200,16.019,16.138,0.119,SPEAKER_02
258200,258471,16.138,16.154,0.017,SPEAKER_01
324753,350016,20.297,21.876,1.579,SPEAKER_02
412767,427436,25.798,26.715,0.917,SPEAKER_00
471443,481765,29.465,30.11,0.645,SPEAKER_02
592325,603463,37.02,37.716,0.696,SPEAKER_02
628726,640135,39.295,40.008,0.713,SPEAKER_02
678438,687130,42.402,42.946,0.543,SPEAKER_02
756400,766451,47.275,47.903,0.628,SPEAKER_02
790899,807470,49.431,50.467,1.036,SPEAKER_02
892224,902546,55.764,56.409,0.645,SPEAKER_02
934057,945738,58.379,59.109,0.73,SPEAKER_02
960950,968285,60.059,60.518,0.458,SPEAKER_02
976977,985670,61.061,61.604,0.543,SPEAKER_02
