start,end,start [s],end [s],dur [s],speaker
8556,15891,0.535,0.993,0.458,SPEAKER_00
21324,37894,1.333,2.368,1.036,SPEAKER_00
59626,64244,3.727,4.015,0.289,SPEAKER_01
89235,104719,5.577,6.545,0.968,SPEAKER_00
240000,255212,15.0,15.951,0.951,SPEAKER_01
278845,336706,17.428,21.044,3.616,SPEAKER_01
344312,351918,21.52,21.995,0.475,SPEAKER_01
526044,547504,32.878,34.219,1.341,SPEAKER_00
567062,569235,35.441,35.577,0.136,SPEAKER_00
586078,605093,36.63,37.818,1.188,SPEAKER_00
624923,625195,39.058,39.075,0.017,SPEAKER_00
625195,635517,39.075,39.72,0.645,SPEAKER_01
902818,935959,56.426,58.497,2.071,SPEAKER_01
