start,end,start [s],end [s],dur [s],speaker
5297,22139,0.331,1.384,1.053,SPEAKER_00
24855,124006,1.553,7.75,6.197,SPEAKER_00
127809,161765,7.988,10.11,2.122,SPEAKER_00
167470,213106,10.467,13.319,2.852,SPEAKER_01
219626,233208,13.727,14.576,0.849,SPEAKER_01
248149,380984,15.509,23.812,8.302,SPEAKER_01
415483,441561,25.968,27.598,1.63,SPEAKER_01
449711,469269,28.107,29.329,1.222,SPEAKER_00
456502,462478,28.531,28.905,0.374,SPEAKER_01
467640,479049,29.228,29.941,0.713,SPEAKER_01
512733,608624,32.046,38.039,5.993,SPEAKER_01
624108,640950,39.007,40.059,1.053,SPEAKER_01
661324,688217,41.333,43.014,1.681,SPEAKER_01
703972,774601,43.998,48.413,4.414,SPEAKER_01
803938,893310,50.246,55.832,5.586,SPEAKER_01
909881,951171,56.868,59.448,2.581,SPEAKER_01
970458,1004685,60.654,62.793,2.139,SPEAKER_01
1021528,1048421,63.846,65.526,1.681,SPEAKER_01
1072869,1109541,67.054,69.346,2.292,SPEAKER_01
1126926,1151918,70.433,71.995,1.562,SPEAKER_01
1151918,1161697,71.995,72.606,0.611,SPEAKER_00
