start,end,start [s],end [s],dur [s],speaker
7470,94940,0.467,5.934,5.467,SPEAKER_00
117487,163123,7.343,10.195,2.852,SPEAKER_01
173446,218539,10.84,13.659,2.818,SPEAKER_01
231035,246791,14.44,15.424,0.985,SPEAKER_01
258200,262003,16.138,16.375,0.238,SPEAKER_01
285636,311171,17.852,19.448,1.596,SPEAKER_01
330730,339966,20.671,21.248,0.577,SPEAKER_01
357623,387504,22.351,24.219,1.868,SPEAKER_01
398913,477147,24.932,29.822,4.89,SPEAKER_01
495619,573582,30.976,35.849,4.873,SPEAKER_01
626010,627096,39.126,39.194,0.068,SPEAKER_01
627368,628455,39.211,39.278,0.068,SPEAKER_01
