start,end,start [s],end [s],dur [s],speaker
29473,53106,1.842,3.319,1.477,SPEAKER_00
68862,88964,4.304,5.56,1.256,SPEAKER_00
100645,147368,6.29,9.211,2.92,SPEAKER_00
181324,201697,11.333,12.606,1.273,SPEAKER_00
231307,250594,14.457,15.662,1.205,SPEAKER_00
363599,380713,22.725,23.795,1.07,SPEAKER_00
408692,426621,25.543,26.664,1.121,SPEAKER_00
537453,562988,33.591,35.187,1.596,SPEAKER_00
586893,620305,36.681,38.769,2.088,SPEAKER_00
658064,714567,41.129,44.66,3.531,SPEAKER_00
769711,788183,48.107,49.261,1.154,SPEAKER_00
821867,837079,51.367,52.317,0.951,SPEAKER_00
905263,924006,56.579,57.75,1.171,SPEAKER_00
