start,end,start [s],end [s],dur [s],speaker
12088,173718,0.756,10.857,10.102,SPEAKER_00
190831,222886,11.927,13.93,2.003,SPEAKER_00
231307,254397,14.457,15.9,1.443,SPEAKER_00
271239,288081,16.952,18.005,1.053,SPEAKER_00
298404,327198,18.65,20.45,1.8,SPEAKER_00
362512,371748,22.657,23.234,0.577,SPEAKER_00
373650,375551,23.353,23.472,0.119,SPEAKER_00
394567,408421,24.66,25.526,0.866,SPEAKER_00
412767,429881,25.798,26.868,1.07,SPEAKER_00
442648,453514,27.666,28.345,0.679,SPEAKER_00
469269,487198,29.329,30.45,1.121,SPEAKER_00
504312,531205,31.52,33.2,1.681,SPEAKER_00
556196,570050,34.762,35.628,0.866,SPEAKER_00
589066,610254,36.817,38.141,1.324,SPEAKER_00
592054,606179,37.003,37.886,0.883,SPEAKER_01
628183,655348,39.261,40.959,1.698,SPEAKER_00
674363,706689,42.148,44.168,2.02,SPEAKER_00
694465,702342,43.404,43.896,0.492,SPEAKER_01
714023,742546,44.626,46.409,1.783,SPEAKER_00
816162,828658,51.01,51.791,0.781,SPEAKER_00
850933,872665,53.183,54.542,1.358,SPEAKER_00
899558,910696,56.222,56.919,0.696,SPEAKER_00
921561,932427,57.598,58.277,0.679,SPEAKER_00
