start,end,start [s],end [s],dur [s],speaker
8828,38981,0.552,2.436,1.885,SPEAKER_00
45229,89507,2.827,5.594,2.767,SPEAKER_00
103633,160407,6.477,10.025,3.548,SPEAKER_00
170186,240000,10.637,15.0,4.363,SPEAKER_00
240000,242716,15.0,15.17,0.17,SPEAKER_01
242716,243531,15.17,15.221,0.051,SPEAKER_00
249235,385874,15.577,24.117,8.54,SPEAKER_01
395925,416298,24.745,26.019,1.273,SPEAKER_01
424176,527945,26.511,32.997,6.486,SPEAKER_01
532563,554023,33.285,34.626,1.341,SPEAKER_01
585534,634159,36.596,39.635,3.039,SPEAKER_01
640679,674906,40.042,42.182,2.139,SPEAKER_01
687945,710492,42.997,44.406,1.409,SPEAKER_01
730322,773514,45.645,48.345,2.699,SPEAKER_01
788998,829473,49.312,51.842,2.53,SPEAKER_01
839796,857996,52.487,53.625,1.138,SPEAKER_01
874567,917487,54.66,57.343,2.683,SPEAKER_01
923191,938675,57.699,58.667,0.968,SPEAKER_01
953073,968556,59.567,60.535,0.968,SPEAKER_01
991918,1009303,61.995,63.081,1.087,SPEAKER_01
1009303,1009847,63.081,63.115,0.034,SPEAKER_00
1009847,1016366,63.115,63.523,0.407,SPEAKER_01
1016366,1020441,63.523,63.778,0.255,SPEAKER_00
1020441,1021799,63.778,63.862,0.085,SPEAKER_01
