start,end,start [s],end [s],dur [s],speaker
33820,161765,2.114,10.11,7.997,SPEAKER_00
171544,196536,10.722,12.284,1.562,SPEAKER_00
199524,224516,12.47,14.032,1.562,SPEAKER_00
231578,260645,14.474,16.29,1.817,SPEAKER_00
267164,300848,16.698,18.803,2.105,SPEAKER_00
308183,334533,19.261,20.908,1.647,SPEAKER_00
342410,381799,21.401,23.862,2.462,SPEAKER_00
402444,501324,25.153,31.333,6.18,SPEAKER_00
511103,694736,31.944,43.421,11.477,SPEAKER_00
703429,753955,43.964,47.122,3.158,SPEAKER_00
757487,787368,47.343,49.211,1.868,SPEAKER_00
798234,876196,49.89,54.762,4.873,SPEAKER_00
879728,880000,54.983,55.0,0.017,SPEAKER_00
881629,926723,55.102,57.92,2.818,SPEAKER_00
930526,938947,58.158,58.684,0.526,SPEAKER_00
959864,963667,59.992,60.229,0.238,SPEAKER_00
