start,end,start [s],end [s],dur [s],speaker
12088,71578,0.756,4.474,3.718,SPEAKER_02
85976,114770,5.374,7.173,1.8,SPEAKER_02
126723,157691,7.92,9.856,1.935,SPEAKER_02
185942,191375,11.621,11.961,0.34,SPEAKER_04
253310,270152,15.832,16.885,1.053,SPEAKER_04
276672,302478,17.292,18.905,1.613,SPEAKER_04
407877,419286,25.492,26.205,0.713,SPEAKER_00
512190,515993,32.012,32.25,0.238,SPEAKER_05
547775,555382,34.236,34.711,0.475,SPEAKER_03
577928,586621,36.121,36.664,0.543,SPEAKER_03
611612,620848,38.226,38.803,0.577,SPEAKER_03
636061,644482,39.754,40.28,0.526,SPEAKER_03
662954,671375,41.435,41.961,0.526,SPEAKER_03
711578,720000,44.474,45.0,0.526,SPEAKER_01
731952,740101,45.747,46.256,0.509,SPEAKER_01
764278,777045,47.767,48.565,0.798,SPEAKER_01
799592,806926,49.975,50.433,0.458,SPEAKER_01
884889,894397,55.306,55.9,0.594,SPEAKER_01
957419,988658,59.839,61.791,1.952,SPEAKER_01
