start,end,start [s],end [s],dur [s],speaker
135,67775,0.008,4.236,4.228,SPEAKER_01
88421,117215,5.526,7.326,1.8,SPEAKER_01
192733,206859,12.046,12.929,0.883,SPEAKER_01
206859,207402,12.929,12.963,0.034,SPEAKER_02
207402,209847,12.963,13.115,0.153,SPEAKER_01
223972,225059,13.998,14.066,0.068,SPEAKER_01
225059,230220,14.066,14.389,0.323,SPEAKER_02
230220,230492,14.389,14.406,0.017,SPEAKER_01
261188,284006,16.324,17.75,1.426,SPEAKER_02
284278,306281,17.767,19.143,1.375,SPEAKER_02
319864,321494,19.992,20.093,0.102,SPEAKER_02
327198,348658,20.45,21.791,1.341,SPEAKER_02
400271,416027,25.017,26.002,0.985,SPEAKER_02
429337,465195,26.834,29.075,2.241,SPEAKER_02
495891,505398,30.993,31.587,0.594,SPEAKER_02
611884,632529,38.243,39.533,1.29,SPEAKER_03
653718,670016,40.857,41.876,1.019,SPEAKER_00
711035,722173,44.44,45.136,0.696,SPEAKER_00
747979,787368,46.749,49.211,2.462,SPEAKER_00
787368,787640,49.211,49.228,0.017,SPEAKER_02
855008,867775,53.438,54.236,0.798,SPEAKER_02
916400,932971,57.275,58.311,1.036,SPEAKER_02
945195,962308,59.075,60.144,1.07,SPEAKER_02
970458,979694,60.654,61.231,0.577,SPEAKER_03
