start,end,start [s],end [s],dur [s],speaker
24040,64516,1.503,4.032,2.53,SPEAKER_03
138947,179151,8.684,11.197,2.513,SPEAKER_03
200611,227775,12.538,14.236,1.698,SPEAKER_04
259015,275585,16.188,17.224,1.036,SPEAKER_00
328285,345942,20.518,21.621,1.104,SPEAKER_02
345942,346485,21.621,21.655,0.034,SPEAKER_01
346485,348930,21.655,21.808,0.153,SPEAKER_00
348930,357079,21.808,22.317,0.509,SPEAKER_01
354906,362512,22.182,22.657,0.475,SPEAKER_02
366315,397011,22.895,24.813,1.919,SPEAKER_02
422275,432597,26.392,27.037,0.645,SPEAKER_02
444550,458675,27.784,28.667,0.883,SPEAKER_01
540984,562173,33.812,35.136,1.324,SPEAKER_02
