start,end,start [s],end [s],dur [s],speaker
135,75382,0.008,4.711,4.703,SPEAKER_03
93853,141392,5.866,8.837,2.971,SPEAKER_03
146010,164482,9.126,10.28,1.154,SPEAKER_05
175076,179966,10.942,11.248,0.306,SPEAKER_03
200067,231578,12.504,14.474,1.969,SPEAKER_03
216366,219354,13.523,13.71,0.187,SPEAKER_05
219354,223701,13.71,13.981,0.272,SPEAKER_04
223701,223972,13.981,13.998,0.017,SPEAKER_05
223972,225331,13.998,14.083,0.085,SPEAKER_04
225331,236196,14.083,14.762,0.679,SPEAKER_05
250050,278030,15.628,17.377,1.749,SPEAKER_03
278030,278573,17.377,17.411,0.034,SPEAKER_01
309269,321222,19.329,20.076,0.747,SPEAKER_01
367674,381256,22.98,23.829,0.849,SPEAKER_01
419830,433955,26.239,27.122,0.883,SPEAKER_01
448081,464108,28.005,29.007,1.002,SPEAKER_01
528760,608081,33.048,38.005,4.958,SPEAKER_02
784651,792258,49.041,49.516,0.475,SPEAKER_00
790084,816706,49.38,51.044,1.664,SPEAKER_04
850933,858539,53.183,53.659,0.475,SPEAKER_00
892495,903904,55.781,56.494,0.713,SPEAKER_00
956604,966655,59.788,60.416,0.628,SPEAKER_00
