start,end,start [s],end [s],dur [s],speaker
135,3123,0.008,0.195,0.187,SPEAKER_02
36808,87606,2.301,5.475,3.175,SPEAKER_02
91952,126723,5.747,7.92,2.173,SPEAKER_02
143293,173989,8.956,10.874,1.919,SPEAKER_02
178064,248964,11.129,15.56,4.431,SPEAKER_02
263089,271782,16.443,16.986,0.543,SPEAKER_02
277487,303837,17.343,18.99,1.647,SPEAKER_02
335891,336434,20.993,21.027,0.034,SPEAKER_00
336434,349745,21.027,21.859,0.832,SPEAKER_02
349745,350016,21.859,21.876,0.017,SPEAKER_00
425534,426078,26.596,26.63,0.034,SPEAKER_00
426078,426349,26.63,26.647,0.017,SPEAKER_01
426349,432054,26.647,27.003,0.357,SPEAKER_00
432054,434227,27.003,27.139,0.136,SPEAKER_01
434227,434499,27.139,27.156,0.017,SPEAKER_00
480135,511375,30.008,31.961,1.952,SPEAKER_01
526587,539083,32.912,33.693,0.781,SPEAKER_01
576298,583633,36.019,36.477,0.458,SPEAKER_01
