start,end,start [s],end [s],dur [s],speaker
4482,13718,0.28,0.857,0.577,SPEAKER_02
30560,37894,1.91,2.368,0.458,SPEAKER_02
52835,61256,3.302,3.829,0.526,SPEAKER_02
85704,94668,5.357,5.917,0.56,SPEAKER_02
109066,119117,6.817,7.445,0.628,SPEAKER_02
151171,161765,9.448,10.11,0.662,SPEAKER_02
210118,218539,13.132,13.659,0.526,SPEAKER_02
254125,264176,15.883,16.511,0.628,SPEAKER_05
310084,319592,19.38,19.975,0.594,SPEAKER_05
361154,371205,22.572,23.2,0.628,SPEAKER_05
438030,457045,27.377,28.565,1.188,SPEAKER_01
500237,510831,31.265,31.927,0.662,SPEAKER_01
513276,531205,32.08,33.2,1.121,SPEAKER_01
532835,548047,33.302,34.253,0.951,SPEAKER_00
602920,608081,37.683,38.005,0.323,SPEAKER_01
608081,611069,38.005,38.192,0.187,SPEAKER_03
675721,693921,42.233,43.37,1.138,SPEAKER_03
731137,740101,45.696,46.256,0.56,SPEAKER_03
822410,831375,51.401,51.961,0.56,SPEAKER_04
929439,939490,58.09,58.718,0.628,SPEAKER_04
