start,end,start [s],end [s],dur [s],speaker
135,23769,0.008,1.486,1.477,SPEAKER_04
679,1494,0.042,0.093,0.051,SPEAKER_03
2308,3395,0.144,0.212,0.068,SPEAKER_03
23769,25942,1.486,1.621,0.136,SPEAKER_01
41969,59354,2.623,3.71,1.087,SPEAKER_04
113412,113955,7.088,7.122,0.034,SPEAKER_04
113955,121561,7.122,7.598,0.475,SPEAKER_03
121561,124006,7.598,7.75,0.153,SPEAKER_04
124006,124550,7.75,7.784,0.034,SPEAKER_03
157962,158505,9.873,9.907,0.034,SPEAKER_03
158505,172088,9.907,10.756,0.849,SPEAKER_04
172088,175076,10.756,10.942,0.187,SPEAKER_03
193548,195449,12.097,12.216,0.119,SPEAKER_03
195449,212020,12.216,13.251,1.036,SPEAKER_04
250594,259286,15.662,16.205,0.543,SPEAKER_04
300577,307096,18.786,19.194,0.407,SPEAKER_04
348658,395925,21.791,24.745,2.954,SPEAKER_02
537996,577385,33.625,36.087,2.462,SPEAKER_01
621120,624108,38.82,39.007,0.187,SPEAKER_01
624108,624380,39.007,39.024,0.017,SPEAKER_03
624380,625466,39.024,39.092,0.068,SPEAKER_01
625466,629813,39.092,39.363,0.272,SPEAKER_03
629813,634431,39.363,39.652,0.289,SPEAKER_01
680067,693378,42.504,43.336,0.832,SPEAKER_03
744448,757215,46.528,47.326,0.798,SPEAKER_00
771884,781392,48.243,48.837,0.594,SPEAKER_03
820509,838438,51.282,52.402,1.121,SPEAKER_03
838438,838981,52.402,52.436,0.034,SPEAKER_02
872665,879185,54.542,54.949,0.407,SPEAKER_02
910424,923735,56.902,57.733,0.832,SPEAKER_02
987843,991918,61.74,61.995,0.255,SPEAKER_02
