start,end,start [s],end [s],dur [s],speaker
38981,135687,2.436,8.48,6.044,SPEAKER_01
141935,182410,8.871,11.401,2.53,SPEAKER_01
224516,241086,14.032,15.068,1.036,SPEAKER_01
288624,336977,18.039,21.061,3.022,SPEAKER_01
357894,376366,22.368,23.523,1.154,SPEAKER_01
421460,463022,26.341,28.939,2.598,SPEAKER_01
540984,560814,33.812,35.051,1.239,SPEAKER_00
614057,649643,38.379,40.603,2.224,SPEAKER_01
707504,729779,44.219,45.611,1.392,SPEAKER_01
848217,865874,53.014,54.117,1.104,SPEAKER_01
872937,886519,54.559,55.407,0.849,SPEAKER_01
894397,927266,55.9,57.954,2.054,SPEAKER_01
959049,986485,59.941,61.655,1.715,SPEAKER_01
