start,end,start [s],end [s],dur [s],speaker
5025,13718,0.314,0.857,0.543,SPEAKER_00
18879,28930,1.18,1.808,0.628,SPEAKER_00
31918,54193,1.995,3.387,1.392,SPEAKER_00
61799,79185,3.862,4.949,1.087,SPEAKER_00
82988,91952,5.187,5.747,0.56,SPEAKER_00
122105,131341,7.632,8.209,0.577,SPEAKER_00
145195,157691,9.075,9.856,0.781,SPEAKER_00
167741,175891,10.484,10.993,0.509,SPEAKER_00
231578,257657,14.474,16.104,1.63,SPEAKER_00
282920,312258,17.683,19.516,1.834,SPEAKER_00
340509,362241,21.282,22.64,1.358,SPEAKER_00
419286,429337,26.205,26.834,0.628,SPEAKER_00
461392,470628,28.837,29.414,0.577,SPEAKER_00
555110,560543,34.694,35.034,0.34,SPEAKER_00
622478,640135,38.905,40.008,1.104,SPEAKER_00
665670,680067,41.604,42.504,0.9,SPEAKER_00
742275,754499,46.392,47.156,0.764,SPEAKER_00
821324,831646,51.333,51.978,0.645,SPEAKER_00
877283,887062,54.83,55.441,0.611,SPEAKER_00
927538,937045,57.971,58.565,0.594,SPEAKER_00
