start,end,start [s],end [s],dur [s],speaker
12903,25942,0.806,1.621,0.815,SPEAKER_00
31918,46044,1.995,2.878,0.883,SPEAKER_00
56366,70220,3.523,4.389,0.866,SPEAKER_00
100645,114499,6.29,7.156,0.866,SPEAKER_00
126994,137317,7.937,8.582,0.645,SPEAKER_00
151714,164753,9.482,10.297,0.815,SPEAKER_00
212835,231578,13.302,14.474,1.171,SPEAKER_00
244889,281018,15.306,17.564,2.258,SPEAKER_00
301120,314974,18.82,19.686,0.866,SPEAKER_00
325568,337792,20.348,21.112,0.764,SPEAKER_00
376366,390764,23.523,24.423,0.9,SPEAKER_00
402988,419558,25.187,26.222,1.036,SPEAKER_00
448896,463565,28.056,28.973,0.917,SPEAKER_00
480407,508930,30.025,31.808,1.783,SPEAKER_00
541256,553752,33.829,34.61,0.781,SPEAKER_00
583089,600475,36.443,37.53,1.087,SPEAKER_00
654533,668658,40.908,41.791,0.883,SPEAKER_00
701256,718913,43.829,44.932,1.104,SPEAKER_00
734125,749609,45.883,46.851,0.968,SPEAKER_00
794702,832190,49.669,52.012,2.343,SPEAKER_00
895483,926723,55.968,57.92,1.952,SPEAKER_00
939762,968013,58.735,60.501,1.766,SPEAKER_00
