start,end,start [s],end [s],dur [s],speaker
135,2580,0.008,0.161,0.153,SPEAKER_00
45500,58811,2.844,3.676,0.832,SPEAKER_00
68047,96298,4.253,6.019,1.766,SPEAKER_00
104991,138404,6.562,8.65,2.088,SPEAKER_00
154159,162580,9.635,10.161,0.526,SPEAKER_01
170458,185398,10.654,11.587,0.934,SPEAKER_01
212292,223972,13.268,13.998,0.73,SPEAKER_01
268251,300033,16.766,18.752,1.986,SPEAKER_00
335348,358981,20.959,22.436,1.477,SPEAKER_00
380169,390492,23.761,24.406,0.645,SPEAKER_00
402716,402988,25.17,25.187,0.017,SPEAKER_00
402988,409779,25.187,25.611,0.424,SPEAKER_01
409779,410050,25.611,25.628,0.017,SPEAKER_00
466553,496706,29.16,31.044,1.885,SPEAKER_00
507843,515178,31.74,32.199,0.458,SPEAKER_00
