start,end,start [s],end [s],dur [s],speaker
9915,124278,0.62,7.767,7.148,SPEAKER_01
146553,214465,9.16,13.404,4.244,SPEAKER_01
235110,266078,14.694,16.63,1.935,SPEAKER_01
309269,335348,19.329,20.959,1.63,SPEAKER_01
363327,374465,22.708,23.404,0.696,SPEAKER_01
392665,453514,24.542,28.345,3.803,SPEAKER_01
456230,468183,28.514,29.261,0.747,SPEAKER_01
513005,529575,32.063,33.098,1.036,SPEAKER_01
596129,609983,37.258,38.124,0.866,SPEAKER_01
633073,645025,39.567,40.314,0.747,SPEAKER_01
663225,675993,41.452,42.25,0.798,SPEAKER_01
664312,674634,41.52,42.165,0.645,SPEAKER_00
740645,748522,46.29,46.783,0.492,SPEAKER_00
795789,819422,49.737,51.214,1.477,SPEAKER_00
805568,815619,50.348,50.976,0.628,SPEAKER_01
915042,964482,57.19,60.28,3.09,SPEAKER_01
