start,end,start [s],end [s],dur [s],speaker
21052,28115,1.316,1.757,0.441,SPEAKER_01
31918,142478,1.995,8.905,6.91,SPEAKER_01
150628,252224,9.414,15.764,6.35,SPEAKER_01
264719,286179,16.545,17.886,1.341,SPEAKER_01
316332,341867,19.771,21.367,1.596,SPEAKER_01
360611,363599,22.538,22.725,0.187,SPEAKER_01
363599,366859,22.725,22.929,0.204,SPEAKER_00
366859,368217,22.929,23.014,0.085,SPEAKER_01
368217,371205,23.014,23.2,0.187,SPEAKER_00
371205,371477,23.2,23.217,0.017,SPEAKER_01
371477,371748,23.217,23.234,0.017,SPEAKER_00
371748,374465,23.234,23.404,0.17,SPEAKER_01
374465,375551,23.404,23.472,0.068,SPEAKER_00
375551,428794,23.472,26.8,3.328,SPEAKER_01
385602,398641,24.1,24.915,0.815,SPEAKER_00
448624,488285,28.039,30.518,2.479,SPEAKER_01
504040,600203,31.503,37.513,6.01,SPEAKER_01
