start,end,start [s],end [s],dur [s],speaker
3395,15891,0.212,0.993,0.781,SPEAKER_01
31918,46044,1.995,2.878,0.883,SPEAKER_01
77011,90050,4.813,5.628,0.815,SPEAKER_01
131341,152801,8.209,9.55,1.341,SPEAKER_01
160679,181595,10.042,11.35,1.307,SPEAKER_01
198709,212563,12.419,13.285,0.866,SPEAKER_01
225602,244889,14.1,15.306,1.205,SPEAKER_01
260916,282376,16.307,17.649,1.341,SPEAKER_01
295687,314974,18.48,19.686,1.205,SPEAKER_01
326112,346485,20.382,21.655,1.273,SPEAKER_01
367945,377181,22.997,23.574,0.577,SPEAKER_01
369847,372835,23.115,23.302,0.187,SPEAKER_00
400000,402173,25.0,25.136,0.136,SPEAKER_01
402173,416570,25.136,26.036,0.9,SPEAKER_00
483395,502139,30.212,31.384,1.171,SPEAKER_01
523056,538268,32.691,33.642,0.951,SPEAKER_01
582275,599932,36.392,37.496,1.104,SPEAKER_01
666485,678709,41.655,42.419,0.764,SPEAKER_01
718641,734940,44.915,45.934,1.019,SPEAKER_01
774872,814804,48.43,50.925,2.496,SPEAKER_01
852020,890594,53.251,55.662,2.411,SPEAKER_01
966655,979422,60.416,61.214,0.798,SPEAKER_01
