start,end,start [s],end [s],dur [s],speaker
135,48488,0.008,3.031,3.022,SPEAKER_00
56366,112054,3.523,7.003,3.48,SPEAKER_01
141935,158234,8.871,9.89,1.019,SPEAKER_01
214736,241629,13.421,15.102,1.681,SPEAKER_01
245704,256298,15.357,16.019,0.662,SPEAKER_01
264991,282920,16.562,17.683,1.121,SPEAKER_01
326926,335891,20.433,20.993,0.56,SPEAKER_01
374193,416027,23.387,26.002,2.615,SPEAKER_01
394838,400000,24.677,25.0,0.323,SPEAKER_00
444821,445093,27.801,27.818,0.017,SPEAKER_00
462207,511103,28.888,31.944,3.056,SPEAKER_00
539898,588251,33.744,36.766,3.022,SPEAKER_01
599388,614872,37.462,38.43,0.968,SPEAKER_01
