start,end,start [s],end [s],dur [s],speaker
135,25127,0.008,1.57,1.562,SPEAKER_00
49847,62614,3.115,3.913,0.798,SPEAKER_00
63972,69134,3.998,4.321,0.323,SPEAKER_00
70492,86247,4.406,5.39,0.985,SPEAKER_00
100101,115042,6.256,7.19,0.934,SPEAKER_00
139219,149813,8.701,9.363,0.662,SPEAKER_00
193005,203056,12.063,12.691,0.628,SPEAKER_00
236196,248692,14.762,15.543,0.781,SPEAKER_00
280203,289439,17.513,18.09,0.577,SPEAKER_00
316332,327741,19.771,20.484,0.713,SPEAKER_00
373378,384787,23.336,24.049,0.713,SPEAKER_00
436129,446451,27.258,27.903,0.645,SPEAKER_00
493989,502682,30.874,31.418,0.543,SPEAKER_00
535551,545602,33.472,34.1,0.628,SPEAKER_00
619490,683599,38.718,42.725,4.007,SPEAKER_00
696366,754499,43.523,47.156,3.633,SPEAKER_00
775144,799320,48.447,49.958,1.511,SPEAKER_00
811273,824584,50.705,51.537,0.832,SPEAKER_00
841426,849303,52.589,53.081,0.492,SPEAKER_00
886247,893853,55.39,55.866,0.475,SPEAKER_00
924006,934057,57.75,58.379,0.628,SPEAKER_00
935959,951171,58.497,59.448,0.951,SPEAKER_00
979966,995993,61.248,62.25,1.002,SPEAKER_00
