start,end,start [s],end [s],dur [s],speaker
19151,32461,1.197,2.029,0.832,SPEAKER_01
32461,77011,2.029,4.813,2.784,SPEAKER_00
97657,98471,6.104,6.154,0.051,SPEAKER_01
243259,269609,15.204,16.851,1.647,SPEAKER_01
272597,339422,17.037,21.214,4.177,SPEAKER_00
359524,401086,22.47,25.068,2.598,SPEAKER_01
381799,393752,23.862,24.61,0.747,SPEAKER_00
402988,439117,25.187,27.445,2.258,SPEAKER_01
511375,552393,31.961,34.525,2.564,SPEAKER_01
577113,586621,36.07,36.664,0.594,SPEAKER_01
608896,617860,38.056,38.616,0.56,SPEAKER_01
632258,634702,39.516,39.669,0.153,SPEAKER_01
637691,643667,39.856,40.229,0.374,SPEAKER_01
661867,671375,41.367,41.961,0.594,SPEAKER_01
