start,end,start [s],end [s],dur [s],speaker
135,10730,0.008,0.671,0.662,SPEAKER_01
40882,46044,2.555,2.878,0.323,SPEAKER_01
84074,152529,5.255,9.533,4.278,SPEAKER_01
194906,240271,12.182,15.017,2.835,SPEAKER_01
240271,304923,15.017,19.058,4.041,SPEAKER_00
311443,324482,19.465,20.28,0.815,SPEAKER_00
360882,363056,22.555,22.691,0.136,SPEAKER_01
363056,363327,22.691,22.708,0.017,SPEAKER_00
363327,396196,22.708,24.762,2.054,SPEAKER_01
422003,482580,26.375,30.161,3.786,SPEAKER_01
496977,509202,31.061,31.825,0.764,SPEAKER_01
534193,544244,33.387,34.015,0.628,SPEAKER_01
551307,657249,34.457,41.078,6.621,SPEAKER_01
775959,865331,48.497,54.083,5.586,SPEAKER_01
867775,913955,54.236,57.122,2.886,SPEAKER_01
937317,977792,58.582,61.112,2.53,SPEAKER_01
