start,end,start [s],end [s],dur [s],speaker
135,9371,0.008,0.586,0.577,SPEAKER_00
9371,13989,0.586,0.874,0.289,SPEAKER_01
13989,58811,0.874,3.676,2.801,SPEAKER_00
65059,203327,4.066,12.708,8.642,SPEAKER_00
218268,310628,13.642,19.414,5.772,SPEAKER_00
333174,364685,20.823,22.793,1.969,SPEAKER_00
339694,358438,21.231,22.402,1.171,SPEAKER_01
366587,392665,22.912,24.542,1.63,SPEAKER_00
418471,482308,26.154,30.144,3.99,SPEAKER_00
488285,511103,30.518,31.944,1.426,SPEAKER_01
513276,658336,32.08,41.146,9.066,SPEAKER_00
664584,673820,41.537,42.114,0.577,SPEAKER_00
