start,end,start [s],end [s],dur [s],speaker
135,187028,0.008,11.689,11.681,SPEAKER_00
196808,225602,12.301,14.1,1.8,SPEAKER_00
234295,372835,14.643,23.302,8.659,SPEAKER_00
362512,365229,22.657,22.827,0.17,SPEAKER_01
378268,430967,23.642,26.935,3.294,SPEAKER_00
464108,508115,29.007,31.757,2.75,SPEAKER_00
518981,532020,32.436,33.251,0.815,SPEAKER_00
533650,546417,33.353,34.151,0.798,SPEAKER_01
562444,576027,35.153,36.002,0.849,SPEAKER_01
576027,648013,36.002,40.501,4.499,SPEAKER_00
579286,592054,36.205,37.003,0.798,SPEAKER_01
649643,664855,40.603,41.553,0.951,SPEAKER_00
671646,833005,41.978,52.063,10.085,SPEAKER_00
710764,716740,44.423,44.796,0.374,SPEAKER_01
771612,786553,48.226,49.16,0.934,SPEAKER_01
869134,886791,54.321,55.424,1.104,SPEAKER_00
893582,973989,55.849,60.874,5.025,SPEAKER_00
