start,end,start [s],end [s],dur [s],speaker
62886,87334,3.93,5.458,1.528,SPEAKER_01
91680,107707,5.73,6.732,1.002,SPEAKER_01
132971,171273,8.311,10.705,2.394,SPEAKER_01
198709,226417,12.419,14.151,1.732,SPEAKER_01
233752,238098,14.61,14.881,0.272,SPEAKER_01
264176,281833,16.511,17.615,1.104,SPEAKER_02
281833,282105,17.615,17.632,0.017,SPEAKER_03
282105,282648,17.632,17.666,0.034,SPEAKER_01
282648,283191,17.666,17.699,0.034,SPEAKER_03
306281,309541,19.143,19.346,0.204,SPEAKER_03
340237,341867,21.265,21.367,0.102,SPEAKER_00
341867,350831,21.367,21.927,0.56,SPEAKER_03
355449,369303,22.216,23.081,0.866,SPEAKER_03
391578,410594,24.474,25.662,1.188,SPEAKER_00
410594,412495,25.662,25.781,0.119,SPEAKER_03
412495,416027,25.781,26.002,0.221,SPEAKER_00
416027,427707,26.002,26.732,0.73,SPEAKER_03
477962,487741,29.873,30.484,0.611,SPEAKER_00
523056,527945,32.691,32.997,0.306,SPEAKER_00
527945,534193,32.997,33.387,0.39,SPEAKER_02
