start,end,start [s],end [s],dur [s],speaker
24855,37894,1.553,2.368,0.815,SPEAKER_03
131884,142750,8.243,8.922,0.679,SPEAKER_03
180237,193548,11.265,12.097,0.832,SPEAKER_03
231850,236740,14.491,14.796,0.306,SPEAKER_02
236740,246791,14.796,15.424,0.628,SPEAKER_03
246791,253310,15.424,15.832,0.407,SPEAKER_02
253310,256027,15.832,16.002,0.17,SPEAKER_03
256027,267979,16.002,16.749,0.747,SPEAKER_02
330186,345127,20.637,21.57,0.934,SPEAKER_02
403531,417928,25.221,26.121,0.9,SPEAKER_02
508387,525229,31.774,32.827,1.053,SPEAKER_02
570050,582546,35.628,36.409,0.781,SPEAKER_00
621663,622207,38.854,38.888,0.034,SPEAKER_00
622478,625195,38.905,39.075,0.17,SPEAKER_00
689847,702614,43.115,43.913,0.798,SPEAKER_00
766723,793344,47.92,49.584,1.664,SPEAKER_01
848760,857453,53.048,53.591,0.543,SPEAKER_01
999252,1014193,62.453,63.387,0.934,SPEAKER_02
