start,end,start [s],end [s],dur [s],speaker
19966,29473,1.248,1.842,0.594,SPEAKER_00
49032,58811,3.065,3.676,0.611,SPEAKER_00
78098,85161,4.881,5.323,0.441,SPEAKER_00
102546,114227,6.409,7.139,0.73,SPEAKER_00
140305,154974,8.769,9.686,0.917,SPEAKER_00
168828,177249,10.552,11.078,0.526,SPEAKER_00
198709,207674,12.419,12.98,0.56,SPEAKER_00
226417,236740,14.151,14.796,0.645,SPEAKER_00
268522,280475,16.783,17.53,0.747,SPEAKER_00
302478,314702,18.905,19.669,0.764,SPEAKER_00
335891,347572,20.993,21.723,0.73,SPEAKER_00
376910,391035,23.557,24.44,0.883,SPEAKER_00
422546,436672,26.409,27.292,0.883,SPEAKER_00
463293,475246,28.956,29.703,0.747,SPEAKER_00
502954,516536,31.435,32.284,0.849,SPEAKER_00
565432,610254,35.34,38.141,2.801,SPEAKER_00
677351,694193,42.334,43.387,1.053,SPEAKER_00
725704,737113,45.357,46.07,0.713,SPEAKER_00
790899,797419,49.431,49.839,0.407,SPEAKER_00
799864,800135,49.992,50.008,0.017,SPEAKER_00
815348,819966,50.959,51.248,0.289,SPEAKER_00
853650,863429,53.353,53.964,0.611,SPEAKER_00
931069,941392,58.192,58.837,0.645,SPEAKER_00
958777,970730,59.924,60.671,0.747,SPEAKER_00
1018539,1030220,63.659,64.389,0.73,SPEAKER_00
