start,end,start [s],end [s],dur [s],speaker
135,15891,0.008,0.993,0.985,SPEAKER_00
16977,31103,1.061,1.944,0.883,SPEAKER_00
39796,54193,2.487,3.387,0.9,SPEAKER_00
66960,80000,4.185,5.0,0.815,SPEAKER_00
105806,118302,6.613,7.394,0.781,SPEAKER_00
153887,165025,9.618,10.314,0.696,SPEAKER_00
186485,196264,11.655,12.267,0.611,SPEAKER_00
219626,230220,13.727,14.389,0.662,SPEAKER_00
290797,303022,18.175,18.939,0.764,SPEAKER_00
338064,348930,21.129,21.808,0.679,SPEAKER_00
375551,386689,23.472,24.168,0.696,SPEAKER_00
439932,452699,27.496,28.294,0.798,SPEAKER_00
497249,508115,31.078,31.757,0.679,SPEAKER_00
560814,584719,35.051,36.545,1.494,SPEAKER_00
661595,673548,41.35,42.097,0.747,SPEAKER_00
702342,726519,43.896,45.407,1.511,SPEAKER_00
733853,747707,45.866,46.732,0.866,SPEAKER_00
794702,808556,49.669,50.535,0.866,SPEAKER_00
969371,982954,60.586,61.435,0.849,SPEAKER_00
