start,end,start [s],end [s],dur [s],speaker
7470,146010,0.467,9.126,8.659,SPEAKER_02
178879,270967,11.18,16.935,5.756,SPEAKER_02
270967,273684,16.935,17.105,0.17,SPEAKER_00
303293,303837,18.956,18.99,0.034,SPEAKER_00
334804,359524,20.925,22.47,1.545,SPEAKER_00
367674,383972,22.98,23.998,1.019,SPEAKER_00
643395,666485,40.212,41.655,1.443,SPEAKER_03
686859,703157,42.929,43.947,1.019,SPEAKER_03
775687,808556,48.48,50.535,2.054,SPEAKER_01
913684,914227,57.105,57.139,0.034,SPEAKER_01
914770,915585,57.173,57.224,0.051,SPEAKER_01
