start,end,start [s],end [s],dur [s],speaker
9371,15891,0.586,0.993,0.407,SPEAKER_04
106621,119117,6.664,7.445,0.781,SPEAKER_04
183769,195178,11.486,12.199,0.713,SPEAKER_04
324482,336162,20.28,21.01,0.73,SPEAKER_01
409779,410322,25.611,25.645,0.034,SPEAKER_02
410322,416027,25.645,26.002,0.357,SPEAKER_01
416027,421188,26.002,26.324,0.323,SPEAKER_02
563259,596943,35.204,37.309,2.105,SPEAKER_00
728692,737113,45.543,46.07,0.526,SPEAKER_03
930797,931341,58.175,58.209,0.034,SPEAKER_00
931341,962580,58.209,60.161,1.952,SPEAKER_02
