start,end,start [s],end [s],dur [s],speaker
135,1494,0.008,0.093,0.085,SPEAKER_00
4753,55280,0.297,3.455,3.158,SPEAKER_00
66960,140305,4.185,8.769,4.584,SPEAKER_00
159592,181867,9.975,11.367,1.392,SPEAKER_00
198981,205229,12.436,12.827,0.39,SPEAKER_00
207945,221799,12.997,13.862,0.866,SPEAKER_00
244889,270967,15.306,16.935,1.63,SPEAKER_00
281833,292699,17.615,18.294,0.679,SPEAKER_00
311443,323667,19.465,20.229,0.764,SPEAKER_00
348658,362784,21.791,22.674,0.883,SPEAKER_00
369847,385331,23.115,24.083,0.968,SPEAKER_00
411680,417113,25.73,26.07,0.34,SPEAKER_00
425263,437487,26.579,27.343,0.764,SPEAKER_00
457589,474431,28.599,29.652,1.053,SPEAKER_00
488013,508115,30.501,31.757,1.256,SPEAKER_00
524142,535008,32.759,33.438,0.679,SPEAKER_00
557011,570050,34.813,35.628,0.815,SPEAKER_00
621120,642580,38.82,40.161,1.341,SPEAKER_00
650458,661052,40.654,41.316,0.662,SPEAKER_00
706417,713480,44.151,44.593,0.441,SPEAKER_00
723531,735212,45.221,45.951,0.73,SPEAKER_00
831918,856095,51.995,53.506,1.511,SPEAKER_00
888421,905534,55.526,56.596,1.07,SPEAKER_00
930254,944108,58.141,59.007,0.866,SPEAKER_00
962580,973718,60.161,60.857,0.696,SPEAKER_00
