start,end,start [s],end [s],dur [s],speaker
72122,80000,4.508,5.0,0.492,SPEAKER_03
103089,181052,6.443,11.316,4.873,SPEAKER_03
181595,188658,11.35,11.791,0.441,SPEAKER_03
188658,189202,11.791,11.825,0.034,SPEAKER_00
189202,189745,11.825,11.859,0.034,SPEAKER_03
189745,190016,11.859,11.876,0.017,SPEAKER_00
190016,190288,11.876,11.893,0.017,SPEAKER_03
203056,210390,12.691,13.149,0.458,SPEAKER_03
220169,240000,13.761,15.0,1.239,SPEAKER_03
382614,418471,23.913,26.154,2.241,SPEAKER_02
451069,468998,28.192,29.312,1.121,SPEAKER_01
