start,end,start [s],end [s],dur [s],speaker
135,10730,0.008,0.671,0.662,SPEAKER_00
17249,33005,1.078,2.063,0.985,SPEAKER_00
43599,60984,2.725,3.812,1.087,SPEAKER_00
79185,97385,4.949,6.087,1.138,SPEAKER_00
116943,136502,7.309,8.531,1.222,SPEAKER_00
148726,162308,9.295,10.144,0.849,SPEAKER_00
193548,208760,12.097,13.048,0.951,SPEAKER_00
212835,229677,13.302,14.355,1.053,SPEAKER_00
246791,263361,15.424,16.46,1.036,SPEAKER_00
297860,310899,18.616,19.431,0.815,SPEAKER_00
348115,360611,21.757,22.538,0.781,SPEAKER_00
386146,399456,24.134,24.966,0.832,SPEAKER_00
422003,435314,26.375,27.207,0.832,SPEAKER_00
478777,498064,29.924,31.129,1.205,SPEAKER_00
500509,507572,31.282,31.723,0.441,SPEAKER_00
520339,535551,32.521,33.472,0.951,SPEAKER_00
549405,560000,34.338,35.0,0.662,SPEAKER_00
586621,599117,36.664,37.445,0.781,SPEAKER_00
646383,655076,40.399,40.942,0.543,SPEAKER_00
694193,707504,43.387,44.219,0.832,SPEAKER_00
721629,735755,45.102,45.985,0.883,SPEAKER_00
799864,815891,49.992,50.993,1.002,SPEAKER_00
872937,892224,54.559,55.764,1.205,SPEAKER_00
951714,963395,59.482,60.212,0.73,SPEAKER_00
