start,end,start [s],end [s],dur [s],speaker
28930,40067,1.808,2.504,0.696,SPEAKER_00
49032,126451,3.065,7.903,4.839,SPEAKER_00
133242,160950,8.328,10.059,1.732,SPEAKER_00
173989,212020,10.874,13.251,2.377,SPEAKER_00
222886,273684,13.93,17.105,3.175,SPEAKER_00
275042,310084,17.19,19.38,2.19,SPEAKER_00
319049,404889,19.941,25.306,5.365,SPEAKER_00
417385,426078,26.087,26.63,0.543,SPEAKER_00
433684,493174,27.105,30.823,3.718,SPEAKER_00
499966,525229,31.248,32.827,1.579,SPEAKER_00
530662,541799,33.166,33.862,0.696,SPEAKER_00
550492,560000,34.406,35.0,0.594,SPEAKER_00
566791,605908,35.424,37.869,2.445,SPEAKER_00
614872,688217,38.43,43.014,4.584,SPEAKER_00
706960,754227,44.185,47.139,2.954,SPEAKER_00
