start,end,start [s],end [s],dur [s],speaker
10458,31375,0.654,1.961,1.307,SPEAKER_00
42241,53106,2.64,3.319,0.679,SPEAKER_00
65059,76196,4.066,4.762,0.696,SPEAKER_00
85704,139762,5.357,8.735,3.379,SPEAKER_00
156061,175619,9.754,10.976,1.222,SPEAKER_00
186485,196808,11.655,12.301,0.645,SPEAKER_00
229405,241629,14.338,15.102,0.764,SPEAKER_00
260645,282376,16.29,17.649,1.358,SPEAKER_00
304108,316061,19.007,19.754,0.747,SPEAKER_00
324482,347572,20.28,21.723,1.443,SPEAKER_00
354634,366859,22.165,22.929,0.764,SPEAKER_00
374736,393752,23.421,24.61,1.188,SPEAKER_00
431239,443735,26.952,27.733,0.781,SPEAKER_00
475789,488285,29.737,30.518,0.781,SPEAKER_00
572224,596400,35.764,37.275,1.511,SPEAKER_00
991375,1005500,61.961,62.844,0.883,SPEAKER_00
