start,end,start [s],end [s],dur [s],speaker
135,8285,0.008,0.518,0.509,SPEAKER_00
21324,27572,1.333,1.723,0.39,SPEAKER_00
44685,52020,2.793,3.251,0.458,SPEAKER_00
66689,73752,4.168,4.61,0.441,SPEAKER_00
117758,145738,7.36,9.109,1.749,SPEAKER_00
158505,176162,9.907,11.01,1.104,SPEAKER_00
208488,213650,13.031,13.353,0.323,SPEAKER_00
222071,228319,13.879,14.27,0.39,SPEAKER_00
229677,243259,14.355,15.204,0.849,SPEAKER_00
301663,333174,18.854,20.823,1.969,SPEAKER_00
355721,375551,22.233,23.472,1.239,SPEAKER_00
378539,449168,23.659,28.073,4.414,SPEAKER_00
426621,434499,26.664,27.156,0.492,SPEAKER_01
457317,501595,28.582,31.35,2.767,SPEAKER_00
522241,535823,32.64,33.489,0.849,SPEAKER_00
604550,651544,37.784,40.722,2.937,SPEAKER_00
649643,665127,40.603,41.57,0.968,SPEAKER_01
676536,691477,42.284,43.217,0.934,SPEAKER_00
731137,735483,45.696,45.968,0.272,SPEAKER_00
793887,812631,49.618,50.789,1.171,SPEAKER_00
818064,842512,51.129,52.657,1.528,SPEAKER_00
862886,902003,53.93,56.375,2.445,SPEAKER_00
864516,875382,54.032,54.711,0.679,SPEAKER_01
