start,end,start [s],end [s],dur [s],speaker
135,80543,0.008,5.034,5.025,SPEAKER_00
83259,157962,5.204,9.873,4.669,SPEAKER_00
174533,287266,10.908,17.954,7.046,SPEAKER_00
315517,335891,19.72,20.993,1.273,SPEAKER_00
376366,395382,23.523,24.711,1.188,SPEAKER_00
408149,430696,25.509,26.919,1.409,SPEAKER_01
445093,453514,27.818,28.345,0.526,SPEAKER_00
516808,523870,32.301,32.742,0.441,SPEAKER_01
609711,621120,38.107,38.82,0.713,SPEAKER_00
626825,637419,39.177,39.839,0.662,SPEAKER_01
706417,724889,44.151,45.306,1.154,SPEAKER_01
724889,751239,45.306,46.952,1.647,SPEAKER_00
756400,767809,47.275,47.988,0.713,SPEAKER_01
853650,872937,53.353,54.559,1.205,SPEAKER_00
878913,900645,54.932,56.29,1.358,SPEAKER_01
921561,961222,57.598,60.076,2.479,SPEAKER_00
982139,996536,61.384,62.284,0.9,SPEAKER_00
