start,end,start [s],end [s],dur [s],speaker
3123,15348,0.195,0.959,0.764,SPEAKER_00
27572,49847,1.723,3.115,1.392,SPEAKER_00
60713,114499,3.795,7.156,3.362,SPEAKER_00
122105,245704,7.632,15.357,7.725,SPEAKER_01
176162,182682,11.01,11.418,0.407,SPEAKER_00
255212,469269,15.951,29.329,13.379,SPEAKER_01
490730,495891,30.671,30.993,0.323,SPEAKER_00
495891,498064,30.993,31.129,0.136,SPEAKER_01
498064,498879,31.129,31.18,0.051,SPEAKER_00
498879,501052,31.18,31.316,0.136,SPEAKER_01
504040,604550,31.503,37.784,6.282,SPEAKER_01
605365,615144,37.835,38.447,0.611,SPEAKER_00
655076,706146,40.942,44.134,3.192,SPEAKER_00
