start,end,start [s],end [s],dur [s],speaker
35721,74567,2.233,4.66,2.428,SPEAKER_01
109066,109337,6.817,6.834,0.017,SPEAKER_01
109609,146553,6.851,9.16,2.309,SPEAKER_01
171001,182139,10.688,11.384,0.696,SPEAKER_00
215008,245704,13.438,15.357,1.919,SPEAKER_00
279388,319049,17.462,19.941,2.479,SPEAKER_00
380169,426893,23.761,26.681,2.92,SPEAKER_01
483938,499422,30.246,31.214,0.968,SPEAKER_01
533378,556468,33.336,34.779,1.443,SPEAKER_01
585263,604821,36.579,37.801,1.222,SPEAKER_01
651816,733310,40.739,45.832,5.093,SPEAKER_01
676536,683870,42.284,42.742,0.458,SPEAKER_00
699626,700441,43.727,43.778,0.051,SPEAKER_00
755857,814804,47.241,50.925,3.684,SPEAKER_01
787368,790628,49.211,49.414,0.204,SPEAKER_00
902275,918030,56.392,57.377,0.985,SPEAKER_01
