start,end,start [s],end [s],dur [s],speaker
135,3938,0.008,0.246,0.238,SPEAKER_03
15348,28115,0.959,1.757,0.798,SPEAKER_03
41969,53378,2.623,3.336,0.713,SPEAKER_03
73752,84346,4.61,5.272,0.662,SPEAKER_03
99286,114499,6.205,7.156,0.951,SPEAKER_03
157419,168013,9.839,10.501,0.662,SPEAKER_03
187028,197079,11.689,12.317,0.628,SPEAKER_03
232937,257113,14.559,16.07,1.511,SPEAKER_03
283191,293786,17.699,18.362,0.662,SPEAKER_03
406247,413310,25.39,25.832,0.441,SPEAKER_00
432054,447809,27.003,27.988,0.985,SPEAKER_00
523056,526587,32.691,32.912,0.221,SPEAKER_02
542614,553752,33.913,34.61,0.696,SPEAKER_01
573853,589609,35.866,36.851,0.985,SPEAKER_01
738743,749881,46.171,46.868,0.696,SPEAKER_02
816162,830016,51.01,51.876,0.866,SPEAKER_02
921290,934057,57.581,58.379,0.798,SPEAKER_02
