start,end,start [s],end [s],dur [s],speaker
13174,72665,0.823,4.542,3.718,SPEAKER_00
133786,134057,8.362,8.379,0.017,SPEAKER_00
134057,141663,8.379,8.854,0.475,SPEAKER_01
213921,215008,13.37,13.438,0.068,SPEAKER_01
233208,238641,14.576,14.915,0.34,SPEAKER_01
242988,245976,15.187,15.374,0.187,SPEAKER_01
276400,277215,17.275,17.326,0.051,SPEAKER_03
277215,280747,17.326,17.547,0.221,SPEAKER_01
280747,286451,17.547,17.903,0.357,SPEAKER_03
292427,297589,18.277,18.599,0.323,SPEAKER_03
297589,298404,18.599,18.65,0.051,SPEAKER_01
298404,298675,18.65,18.667,0.017,SPEAKER_03
298675,298947,18.667,18.684,0.017,SPEAKER_01
298947,300033,18.684,18.752,0.068,SPEAKER_03
330186,397283,20.637,24.83,4.194,SPEAKER_03
461935,528217,28.871,33.014,4.143,SPEAKER_03
577385,577657,36.087,36.104,0.017,SPEAKER_00
598573,697724,37.411,43.608,6.197,SPEAKER_00
788183,807470,49.261,50.467,1.205,SPEAKER_02
851748,902818,53.234,56.426,3.192,SPEAKER_02
