start,end,start [s],end [s],dur [s],speaker
38166,58268,2.385,3.642,1.256,SPEAKER_02
101188,165840,6.324,10.365,4.041,SPEAKER_02
190288,220713,11.893,13.795,1.902,SPEAKER_02
276943,288081,17.309,18.005,0.696,SPEAKER_00
331544,345398,20.722,21.587,0.866,SPEAKER_04
357623,377453,22.351,23.591,1.239,SPEAKER_04
393208,410322,24.576,25.645,1.07,SPEAKER_04
430967,432054,26.935,27.003,0.068,SPEAKER_04
432054,432869,27.003,27.054,0.051,SPEAKER_03
432869,448081,27.054,28.005,0.951,SPEAKER_04
448081,464108,28.005,29.007,1.002,SPEAKER_03
485568,500509,30.348,31.282,0.934,SPEAKER_03
513548,526859,32.097,32.929,0.832,SPEAKER_03
550220,573039,34.389,35.815,1.426,SPEAKER_03
625738,638505,39.109,39.907,0.798,SPEAKER_03
684685,686587,42.793,42.912,0.119,SPEAKER_03
686587,693378,42.912,43.336,0.424,SPEAKER_01
693378,697724,43.336,43.608,0.272,SPEAKER_03
710764,721086,44.423,45.068,0.645,SPEAKER_01
764550,778132,47.784,48.633,0.849,SPEAKER_01
798777,805840,49.924,50.365,0.441,SPEAKER_01
845772,857453,52.861,53.591,0.73,SPEAKER_01
975891,980509,60.993,61.282,0.289,SPEAKER_00
