start,end,start [s],end [s],dur [s],speaker
7470,86247,0.467,5.39,4.924,SPEAKER_01
96027,142478,6.002,8.905,2.903,SPEAKER_01
148455,171544,9.278,10.722,1.443,SPEAKER_01
189202,213921,11.825,13.37,1.545,SPEAKER_01
230220,308455,14.389,19.278,4.89,SPEAKER_01
316604,340780,19.788,21.299,1.511,SPEAKER_01
348115,367945,21.757,22.997,1.239,SPEAKER_01
374736,395925,23.421,24.745,1.324,SPEAKER_01
407062,424176,25.441,26.511,1.07,SPEAKER_01
433955,449983,27.122,28.124,1.002,SPEAKER_01
468726,483938,29.295,30.246,0.951,SPEAKER_01
501052,522512,31.316,32.657,1.341,SPEAKER_01
568692,588251,35.543,36.766,1.222,SPEAKER_01
599660,616774,37.479,38.548,1.07,SPEAKER_01
634702,652631,39.669,40.789,1.121,SPEAKER_01
687945,699898,42.997,43.744,0.747,SPEAKER_00
