start,end,start [s],end [s],dur [s],speaker
11001,23225,0.688,1.452,0.764,SPEAKER_04
43056,51477,2.691,3.217,0.526,SPEAKER_04
59083,63429,3.693,3.964,0.272,SPEAKER_04
79728,92767,4.983,5.798,0.815,SPEAKER_04
106349,118845,6.647,7.428,0.781,SPEAKER_04
235653,248149,14.728,15.509,0.781,SPEAKER_05
360882,374465,22.555,23.404,0.849,SPEAKER_02
504312,527945,31.52,32.997,1.477,SPEAKER_01
602920,613514,37.683,38.345,0.662,SPEAKER_03
646112,658064,40.382,41.129,0.747,SPEAKER_03
726519,740916,45.407,46.307,0.9,SPEAKER_00
759388,771612,47.462,48.226,0.764,SPEAKER_00
899558,982954,56.222,61.435,5.212,SPEAKER_00
