start,end,start [s],end [s],dur [s],speaker
8556,15891,0.535,0.993,0.458,SPEAKER_03
20509,50662,1.282,3.166,1.885,SPEAKER_03
72122,88149,4.508,5.509,1.002,SPEAKER_03
93039,100101,5.815,6.256,0.441,SPEAKER_03
135959,140848,8.497,8.803,0.306,SPEAKER_03
175076,175891,10.942,10.993,0.051,SPEAKER_03
188658,204142,11.791,12.759,0.968,SPEAKER_03
243803,244346,15.238,15.272,0.034,SPEAKER_03
244346,255483,15.272,15.968,0.696,SPEAKER_04
298404,315246,18.65,19.703,1.053,SPEAKER_04
352461,369303,22.029,23.081,1.053,SPEAKER_04
389949,395382,24.372,24.711,0.34,SPEAKER_00
403803,404074,25.238,25.255,0.017,SPEAKER_02
404074,414397,25.255,25.9,0.645,SPEAKER_04
477147,492088,29.822,30.756,0.934,SPEAKER_02
520882,547232,32.555,34.202,1.647,SPEAKER_02
553208,560000,34.576,35.0,0.424,SPEAKER_02
582818,601018,36.426,37.564,1.138,SPEAKER_02
790628,812088,49.414,50.756,1.341,SPEAKER_01
905263,922105,56.579,57.632,1.053,SPEAKER_01
