start,end,start [s],end [s],dur [s],speaker
11544,26213,0.722,1.638,0.917,SPEAKER_01
40339,53921,2.521,3.37,0.849,SPEAKER_01
67775,80543,4.236,5.034,0.798,SPEAKER_01
95212,147368,5.951,9.211,3.26,SPEAKER_01
167470,177792,10.467,11.112,0.645,SPEAKER_01
249507,267979,15.594,16.749,1.154,SPEAKER_03
272054,289439,17.003,18.09,1.087,SPEAKER_03
369575,380984,23.098,23.812,0.713,SPEAKER_02
515178,529303,32.199,33.081,0.883,SPEAKER_04
533921,543157,33.37,33.947,0.577,SPEAKER_04
666485,696366,41.655,43.523,1.868,SPEAKER_00
752597,752869,47.037,47.054,0.017,SPEAKER_03
752869,765908,47.054,47.869,0.815,SPEAKER_00
765908,766451,47.869,47.903,0.034,SPEAKER_03
893853,925365,55.866,57.835,1.969,SPEAKER_04
