start,end,start [s],end [s],dur [s],speaker
31918,74838,1.995,4.677,2.683,SPEAKER_00
55008,69134,3.438,4.321,0.883,SPEAKER_01
105263,113955,6.579,7.122,0.543,SPEAKER_00
125093,140577,7.818,8.786,0.968,SPEAKER_00
144108,159320,9.007,9.958,0.951,SPEAKER_00
172088,186485,10.756,11.655,0.9,SPEAKER_00
199796,214736,12.487,13.421,0.934,SPEAKER_00
229405,241901,14.338,15.119,0.781,SPEAKER_00
262275,286723,16.392,17.92,1.528,SPEAKER_00
301392,312258,18.837,19.516,0.679,SPEAKER_00
329100,345127,20.569,21.57,1.002,SPEAKER_00
351646,374193,21.978,23.387,1.409,SPEAKER_00
389405,410050,24.338,25.628,1.29,SPEAKER_00
415755,471171,25.985,29.448,3.463,SPEAKER_00
474159,494804,29.635,30.925,1.29,SPEAKER_00
525500,544244,32.844,34.015,1.171,SPEAKER_00
575212,594770,35.951,37.173,1.222,SPEAKER_00
606451,633344,37.903,39.584,1.681,SPEAKER_00
657521,684957,41.095,42.81,1.715,SPEAKER_00
729779,762648,45.611,47.666,2.054,SPEAKER_00
769439,789541,48.09,49.346,1.256,SPEAKER_00
797691,816162,49.856,51.01,1.154,SPEAKER_00
837079,856638,52.317,53.54,1.222,SPEAKER_00
863429,900645,53.964,56.29,2.326,SPEAKER_00
942478,966655,58.905,60.416,1.511,SPEAKER_00
