start,end,start [s],end [s],dur [s],speaker
15076,100916,0.942,6.307,5.365,SPEAKER_00
106621,185127,6.664,11.57,4.907,SPEAKER_00
192190,259286,12.012,16.205,4.194,SPEAKER_00
275857,342410,17.241,21.401,4.16,SPEAKER_00
350288,377996,21.893,23.625,1.732,SPEAKER_00
381528,397826,23.846,24.864,1.019,SPEAKER_00
405161,421188,25.323,26.324,1.002,SPEAKER_00
428522,509745,26.783,31.859,5.076,SPEAKER_00
517623,566247,32.351,35.39,3.039,SPEAKER_00
573039,594499,35.815,37.156,1.341,SPEAKER_00
604278,651273,37.767,40.705,2.937,SPEAKER_00
661324,770797,41.333,48.175,6.842,SPEAKER_00
779490,811001,48.718,50.688,1.969,SPEAKER_00
822954,832733,51.435,52.046,0.611,SPEAKER_00
849032,862071,53.065,53.879,0.815,SPEAKER_00
881086,916672,55.068,57.292,2.224,SPEAKER_00
935687,958777,58.48,59.924,1.443,SPEAKER_00
