start,end,start [s],end [s],dur [s],speaker
2852,53106,0.178,3.319,3.141,SPEAKER_00
60169,84889,3.761,5.306,1.545,SPEAKER_00
97385,117215,6.087,7.326,1.239,SPEAKER_00
128353,142207,8.022,8.888,0.866,SPEAKER_00
151171,196808,9.448,12.301,2.852,SPEAKER_00
232122,267436,14.508,16.715,2.207,SPEAKER_00
287538,298132,17.971,18.633,0.662,SPEAKER_00
310356,336706,19.397,21.044,1.647,SPEAKER_00
356808,389405,22.301,24.338,2.037,SPEAKER_00
430152,475517,26.885,29.72,2.835,SPEAKER_00
482037,504040,30.127,31.503,1.375,SPEAKER_00
508930,546960,31.808,34.185,2.377,SPEAKER_00
549677,569507,34.355,35.594,1.239,SPEAKER_00
