start,end,start [s],end [s],dur [s],speaker
135,3938,0.008,0.246,0.238,SPEAKER_02
27572,34363,1.723,2.148,0.424,SPEAKER_02
38709,46044,2.419,2.878,0.458,SPEAKER_01
53106,60169,3.319,3.761,0.441,SPEAKER_02
115314,123463,7.207,7.716,0.509,SPEAKER_02
147096,159049,9.194,9.941,0.747,SPEAKER_02
186757,210118,11.672,13.132,1.46,SPEAKER_02
256027,300848,16.002,18.803,2.801,SPEAKER_03
336977,349745,21.061,21.859,0.798,SPEAKER_03
397555,409235,24.847,25.577,0.73,SPEAKER_03
453786,490186,28.362,30.637,2.275,SPEAKER_03
518981,556468,32.436,34.779,2.343,SPEAKER_03
608624,619762,38.039,38.735,0.696,SPEAKER_03
619762,620305,38.735,38.769,0.034,SPEAKER_01
688760,723531,43.048,45.221,2.173,SPEAKER_01
752054,768896,47.003,48.056,1.053,SPEAKER_01
794159,815891,49.635,50.993,1.358,SPEAKER_00
843327,858268,52.708,53.642,0.934,SPEAKER_00
