start,end,start [s],end [s],dur [s],speaker
9643,46315,0.603,2.895,2.292,SPEAKER_03
69405,84889,4.338,5.306,0.968,SPEAKER_03
110967,116943,6.935,7.309,0.374,SPEAKER_03
137317,156332,8.582,9.771,1.188,SPEAKER_03
195449,204414,12.216,12.776,0.56,SPEAKER_03
213106,227232,13.319,14.202,0.883,SPEAKER_03
262546,270696,16.409,16.919,0.509,SPEAKER_03
369847,397826,23.115,24.864,1.749,SPEAKER_00
397826,452971,24.864,28.311,3.447,SPEAKER_01
750424,769711,46.902,48.107,1.205,SPEAKER_02
796876,814533,49.805,50.908,1.104,SPEAKER_02
947096,968828,59.194,60.552,1.358,SPEAKER_01
