start,end,start [s],end [s],dur [s],speaker
7198,187028,0.45,11.689,11.239,SPEAKER_00
191646,252767,11.978,15.798,3.82,SPEAKER_00
259558,291341,16.222,18.209,1.986,SPEAKER_00
300577,354906,18.786,22.182,3.396,SPEAKER_00
357351,357623,22.334,22.351,0.017,SPEAKER_00
358709,435314,22.419,27.207,4.788,SPEAKER_00
440747,519524,27.547,32.47,4.924,SPEAKER_00
539354,672733,33.71,42.046,8.336,SPEAKER_00
681969,733853,42.623,45.866,3.243,SPEAKER_00
738200,772156,46.138,48.26,2.122,SPEAKER_00
778132,850390,48.633,53.149,4.516,SPEAKER_00
857996,944923,53.625,59.058,5.433,SPEAKER_00
947368,1143497,59.211,71.469,12.258,SPEAKER_00
1150288,1177996,71.893,73.625,1.732,SPEAKER_00
1183157,1224448,73.947,76.528,2.581,SPEAKER_00
1233684,1278777,77.105,79.924,2.818,SPEAKER_00
1290186,1324957,80.637,82.81,2.173,SPEAKER_00
1333378,1362173,83.336,85.136,1.8,SPEAKER_00
1369779,1441765,85.611,90.11,4.499,SPEAKER_00
1446112,1464040,90.382,91.503,1.121,SPEAKER_00
1476264,1532495,92.267,95.781,3.514,SPEAKER_00
1537385,1627843,96.087,101.74,5.654,SPEAKER_00
1631646,1681086,101.978,105.068,3.09,SPEAKER_00
1696842,1710696,106.053,106.919,0.866,SPEAKER_00
1730254,1785127,108.141,111.57,3.43,SPEAKER_00
1792190,1894057,112.012,118.379,6.367,SPEAKER_00
1899490,1950288,118.718,121.893,3.175,SPEAKER_00
1959796,1991035,122.487,124.44,1.952,SPEAKER_00
2003259,2144516,125.204,134.032,8.829,SPEAKER_00
2179015,2205908,136.188,137.869,1.681,SPEAKER_00
2220305,2226553,138.769,139.16,0.39,SPEAKER_00
2259422,2292292,141.214,143.268,2.054,SPEAKER_00
2296366,2419966,143.523,151.248,7.725,SPEAKER_00
2431918,2447402,151.995,152.963,0.968,SPEAKER_00
2468862,2562308,154.304,160.144,5.84,SPEAKER_00
2585670,2591103,161.604,161.944,0.34,SPEAKER_00
2685908,2770662,167.869,173.166,5.297,SPEAKER_00
2780984,2837215,173.812,177.326,3.514,SPEAKER_00
2840203,2890186,177.513,180.637,3.124,SPEAKER_00
