start,end,start [s],end [s],dur [s],speaker
13174,25398,0.823,1.587,0.764,SPEAKER_00
77011,91680,4.813,5.73,0.917,SPEAKER_00
109066,119388,6.817,7.462,0.645,SPEAKER_00
177792,189202,11.112,11.825,0.713,SPEAKER_00
223157,235653,13.947,14.728,0.781,SPEAKER_00
277758,290526,17.36,18.158,0.798,SPEAKER_00
329100,343769,20.569,21.486,0.917,SPEAKER_00
386417,396196,24.151,24.762,0.611,SPEAKER_00
438030,446723,27.377,27.92,0.543,SPEAKER_00
486926,493989,30.433,30.874,0.441,SPEAKER_00
569779,579558,35.611,36.222,0.611,SPEAKER_00
639864,648285,39.992,40.518,0.526,SPEAKER_00
695280,722173,43.455,45.136,1.681,SPEAKER_00
772427,785466,48.277,49.092,0.815,SPEAKER_00
829473,840611,51.842,52.538,0.696,SPEAKER_00
937589,951443,58.599,59.465,0.866,SPEAKER_00
