start,end,start [s],end [s],dur [s],speaker
38166,58268,2.385,3.642,1.256,SPEAKER_01
101188,165840,6.324,10.365,4.041,SPEAKER_01
190288,220713,11.893,13.795,1.902,SPEAKER_01
276943,288081,17.309,18.005,0.696,SPEAKER_00
331544,345398,20.722,21.587,0.866,SPEAKER_01
357623,377453,22.351,23.591,1.239,SPEAKER_01
393208,410322,24.576,25.645,1.07,SPEAKER_01
430967,464108,26.935,29.007,2.071,SPEAKER_01
485568,500509,30.348,31.282,0.934,SPEAKER_01
513548,526859,32.097,32.929,0.832,SPEAKER_01
550220,573039,34.389,35.815,1.426,SPEAKER_01
625738,638505,39.109,39.907,0.798,SPEAKER_01
684685,697724,42.793,43.608,0.815,SPEAKER_01
710764,721086,44.423,45.068,0.645,SPEAKER_01
764550,778132,47.784,48.633,0.849,SPEAKER_01
798777,805840,49.924,50.365,0.441,SPEAKER_01
845772,857453,52.861,53.591,0.73,SPEAKER_01
975891,980509,60.993,61.282,0.289,SPEAKER_00
