start,end,start [s],end [s],dur [s],speaker
135,47945,0.008,2.997,2.988,SPEAKER_01
65331,86791,4.083,5.424,1.341,SPEAKER_01
119117,132971,7.445,8.311,0.866,SPEAKER_01
132971,133242,8.311,8.328,0.017,SPEAKER_00
168285,179422,10.518,11.214,0.696,SPEAKER_01
179422,179694,11.214,11.231,0.017,SPEAKER_00
210118,225331,13.132,14.083,0.951,SPEAKER_00
474159,487741,29.635,30.484,0.849,SPEAKER_01
574940,623022,35.934,38.939,3.005,SPEAKER_01
695280,709405,43.455,44.338,0.883,SPEAKER_01
755857,765636,47.241,47.852,0.611,SPEAKER_01
794431,808828,49.652,50.552,0.9,SPEAKER_01
858539,875382,53.659,54.711,1.053,SPEAKER_01
