start,end,start [s],end [s],dur [s],speaker
11544,26213,0.722,1.638,0.917,SPEAKER_00
40339,53921,2.521,3.37,0.849,SPEAKER_00
67775,80543,4.236,5.034,0.798,SPEAKER_00
95212,147368,5.951,9.211,3.26,SPEAKER_00
167470,177792,10.467,11.112,0.645,SPEAKER_00
249507,267979,15.594,16.749,1.154,SPEAKER_00
272054,289439,17.003,18.09,1.087,SPEAKER_00
369575,380984,23.098,23.812,0.713,SPEAKER_00
515178,529303,32.199,33.081,0.883,SPEAKER_01
533921,543157,33.37,33.947,0.577,SPEAKER_01
666485,696366,41.655,43.523,1.868,SPEAKER_00
752597,766451,47.037,47.903,0.866,SPEAKER_00
893853,925365,55.866,57.835,1.969,SPEAKER_01
