start,end,start [s],end [s],dur [s],speaker
2037,56638,0.127,3.54,3.413,SPEAKER_00
87877,179422,5.492,11.214,5.722,SPEAKER_00
182410,204685,11.401,12.793,1.392,SPEAKER_00
230492,323123,14.406,20.195,5.789,SPEAKER_00
328828,372020,20.552,23.251,2.699,SPEAKER_00
455959,475789,28.497,29.737,1.239,SPEAKER_01
504312,504855,31.52,31.553,0.034,SPEAKER_00
504855,511918,31.553,31.995,0.441,SPEAKER_01
511918,515449,31.995,32.216,0.221,SPEAKER_00
552937,588251,34.559,36.766,2.207,SPEAKER_00
605636,624923,37.852,39.058,1.205,SPEAKER_00
679252,705602,42.453,44.1,1.647,SPEAKER_01
736027,736298,46.002,46.019,0.017,SPEAKER_01
736298,757758,46.019,47.36,1.341,SPEAKER_00
757758,758845,47.36,47.428,0.068,SPEAKER_01
777860,789541,48.616,49.346,0.73,SPEAKER_00
838981,856638,52.436,53.54,1.104,SPEAKER_00
939762,954431,58.735,59.652,0.917,SPEAKER_00
