start,end,start [s],end [s],dur [s],speaker
135,15348,0.008,0.959,0.951,SPEAKER_01
25398,38981,1.587,2.436,0.849,SPEAKER_01
43599,62614,2.725,3.913,1.188,SPEAKER_01
84074,125908,5.255,7.869,2.615,SPEAKER_01
131612,150084,8.226,9.38,1.154,SPEAKER_01
157419,183497,9.839,11.469,1.63,SPEAKER_01
241901,264176,15.119,16.511,1.392,SPEAKER_01
268522,284278,16.783,17.767,0.985,SPEAKER_01
294329,306553,18.396,19.16,0.764,SPEAKER_01
320407,333174,20.025,20.823,0.798,SPEAKER_01
350016,379354,21.876,23.71,1.834,SPEAKER_01
386960,395925,24.185,24.745,0.56,SPEAKER_01
407334,409507,25.458,25.594,0.136,SPEAKER_01
456774,476332,28.548,29.771,1.222,SPEAKER_01
491816,533921,30.739,33.37,2.632,SPEAKER_01
605908,622750,37.869,38.922,1.053,SPEAKER_01
652088,655891,40.756,40.993,0.238,SPEAKER_01
655891,656977,40.993,41.061,0.068,SPEAKER_00
656977,661324,41.061,41.333,0.272,SPEAKER_01
694736,705331,43.421,44.083,0.662,SPEAKER_01
702886,721086,43.93,45.068,1.138,SPEAKER_00
730865,749066,45.679,46.817,1.138,SPEAKER_01
757758,779490,47.36,48.718,1.358,SPEAKER_01
806655,844957,50.416,52.81,2.394,SPEAKER_01
877283,890050,54.83,55.628,0.798,SPEAKER_01
899015,911511,56.188,56.969,0.781,SPEAKER_01
938404,938675,58.65,58.667,0.017,SPEAKER_00
938675,957419,58.667,59.839,1.171,SPEAKER_01
