start,end,start [s],end [s],dur [s],speaker
12903,66689,0.806,4.168,3.362,SPEAKER_01
115042,129983,7.19,8.124,0.934,SPEAKER_01
154431,195721,9.652,12.233,2.581,SPEAKER_01
211477,285636,13.217,17.852,4.635,SPEAKER_01
320679,351918,20.042,21.995,1.952,SPEAKER_01
409507,424719,25.594,26.545,0.951,SPEAKER_01
454872,470628,28.43,29.414,0.985,SPEAKER_01
505670,512190,31.604,32.012,0.407,SPEAKER_01
626010,641222,39.126,40.076,0.951,SPEAKER_00
715925,742546,44.745,46.409,1.664,SPEAKER_01
759388,771884,47.462,48.243,0.781,SPEAKER_01
796332,817249,49.771,51.078,1.307,SPEAKER_01
866417,883531,54.151,55.221,1.07,SPEAKER_01
902818,914770,56.426,57.173,0.747,SPEAKER_01
970458,979694,60.654,61.231,0.577,SPEAKER_01
